ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
165,100.0000,314.7667,300.0000,314.7667,0.500000,0.500000,1.000000,,False,200.0000
166,100.0000,310.5104,300.0000,310.5104,0.500000,0.500000,1.000000,,False,200.0000
167,100.0000,306.2915,300.0000,306.2915,0.500000,0.500000,1.000000,,False,200.0000
168,100.0000,302.0947,300.0000,302.0947,0.500000,0.500000,1.000000,,False,200.0000
169,100.0000,297.9053,300.0000,297.9053,0.500000,0.500000,1.000000,,False,200.0000
170,100.0000,293.7085,300.0000,293.7085,0.500000,0.500000,1.000000,,False,200.0000
171,100.0000,289.4896,300.0000,289.4896,0.500000,0.500000,1.000000,,False,200.0000
172,100.0000,285.2333,300.0000,285.2333,0.500000,0.500000,1.000000,,False,200.0000
173,100.0000,280.9240,300.0000,280.9240,0.500000,0.500000,1.000000,,False,200.0000
174,100.0000,276.5452,300.0000,276.5452,0.500000,0.500000,1.000000,,False,200.0000
175,100.0000,272.0795,300.0000,272.0795,0.500000,0.500000,1.000000,,False,200.0000
176,100.0000,267.5080,300.0000,267.5080,0.500000,0.500000,1.000000,,False,200.0000
177,100.0000,262.8103,300.0000,262.8103,0.500000,0.500000,1.000000,,False,200.0000
178,100.0000,257.9639,300.0000,257.9639,0.500000,0.500000,1.000000,,False,200.0000
179,100.0000,252.9436,300.0000,252.9436,0.500000,0.500000,1.000000,,False,200.0000
180,100.0000,247.7213,300.0000,247.7213,0.500000,0.500000,1.000000,,False,200.0000
181,100.0000,242.2650,300.0000,242.2650,0.500000,0.500000,1.000000,,False,200.0000
182,100.0000,236.5381,300.0000,236.5381,0.500000,0.500000,1.000000,,False,200.0000
183,100.0000,230.4982,300.0000,230.4982,0.500000,0.500000,1.000000,,False,200.0000
184,100.0000,224.0959,300.0000,224.0959,0.500000,0.500000,1.000000,,False,200.0000
185,100.0000,217.2728,300.0000,217.2728,0.500000,0.500000,1.000000,,False,200.0000
186,100.0000,209.9596,300.0000,209.9596,0.500000,0.500000,1.000000,,False,200.0000
187,100.0000,202.0728,300.0000,202.0728,0.500000,0.500000,1.000000,,False,200.0000
