ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
170,167.2954,289.4747,-9532.9984,2719.3512,0.020224,0.019778,0.040001,,False,10000.0000
171,167.2954,289.4747,226.6874,283.9164,0.479776,0.480222,0.959999,,False,59.6516
172,166.3392,282.5170,-9744.9174,1611.8001,0.020005,0.019995,0.040000,,False,10000.0000
173,166.3392,282.5170,224.1932,276.1573,0.479995,0.480005,0.960000,,False,58.2026
174,165.6288,275.5421,-9832.0984,488.7339,0.020105,0.019895,0.040000,,False,10000.0000
175,165.6288,275.5421,221.3810,268.4962,0.479895,0.480105,0.960000,,False,56.1957
176,165.1608,268.4939,-9793.2738,-642.3192,0.020529,0.019478,0.040006,,False,10000.0000
177,165.1608,268.4939,218.2431,260.9209,0.479471,0.480522,0.959994,,False,53.6198
178,164.9404,261.3136,-9625.7988,-1773.7359,0.021306,0.018732,0.040038,,False,10000.0000
179,164.9404,261.3136,214.7660,253.4164,0.478694,0.481268,0.959962,,False,50.4476
180,164.9826,253.9360,-9325.4658,-2897.4745,0.022492,0.017642,0.040135,,False,10000.0000
181,164.9826,253.9360,210.9278,245.9627,0.477508,0.482358,0.959865,,False,46.6319
182,165.3142,246.2862,-8886.1677,-4004.6756,0.024181,0.016186,0.040367,,False,10000.0000
